Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Oh S., Nah K.",57270369000;57209697532;,Analysis of Fashion Value and Emotion in Digital Environment Based on Analysis of Famous Korean Fashion YouTube Review Data,2022,Lecture Notes in Networks and Systems,319,,,240,245,,,10.1007/978-3-030-85540-6_31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115661926&doi=10.1007%2f978-3-030-85540-6_31&partnerID=40&md5=620211934b5606a43cd8571347935aae,"International Design Trend Center, Hongik University, Seoul, South Korea; International Design School for Advanced Studies, Hongik University, Seoul, South Korea","Oh, S., International Design Trend Center, Hongik University, Seoul, South Korea; Nah, K., International Design School for Advanced Studies, Hongik University, Seoul, South Korea","The fashion world is trying various changes due to the development of technology, the non-face-to-face environment caused by Covid-19, and the lifestyle change of the digital generation. It is a world where luxury brands promote and sell their products in a metaverse environment. Fashion influencers also use YouTube to give advice on styling and short content, and lead lifestyle changes. As a result, the values and sensibility of digital-based fashion are also changing. Therefore, this thesis researched related contents through Fashion YouTube. Fashion YouTube, which has the top 5 domestic subscribers and videos as of May 2021, was selected. I crawled their youtube data reviews with python. As a result of the analysis of the collected data with text-mining, past fashion discovered fashion and trends, but modern fashion further emphasized the philosophy and values of life based on their own lifestyles. Rather than changing fashion based on trends, fashion is a means of expressing individual values, emphasizing emotional details and expressing fashion changes. ? 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Data analysis; Digital fashion; NVIVO; Python; Text mining,,Conference Paper,Final,,Scopus,2-s2.0-85115661926
Bolger R.K.,57263021000;,Finding wholes in the metaverse: Posthuman mystics as agents of evolutionary contextualization,2021,Religions,12,9,768,,,,,10.3390/rel12090768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115178922&doi=10.3390%2frel12090768&partnerID=40&md5=6f022f7ec794fbac5be65e8cca33cc75,"School of Mission and Theology, Fuller Theological Seminary, Pasadena, CA  91182, United States","Bolger, R.K., School of Mission and Theology, Fuller Theological Seminary, Pasadena, CA  91182, United States","The Metaverse is a pervasive expression of technological culture whose impact will be global. First, through knowledge, then through social, and now through geo-spatial, AI (the foundation of the Metaverse) will connect all entities on Earth through digital means thereby creating a three-dimensional informational and experiential layer across the world dubbed the Metaverse. The Metaverse has four characteristics: augmented reality, lifelogging, mirror worlds, and virtual reality. From the standpoint of Christian cultural engagement, a contextual theology has yet to be developed. In the work that follows, the Metaverse is engaged through a combination of contextualization and wholemaking from the standpoint of posthumanism and mysticism. The study focuses on evolutionary wholemaking as identified by Teilhard/Delio, while being guided by Bevans¡¯ five (early) models of contextualization. The method of contextual wholemaking enables new ways of seeing, embracing, communing, complexifying, and creating within the four spheres of the Metaverse. After exploring the nature of the Metaverse in the first half of the paper, insights were gathered from the dialogue between contextual theology and culture and discussed in the second half of the paper. ? 2021 by the author. Licensee MDPI, Basel, Switzerland.",Augmented reality; Avatar; Contextualization; Lifelogging; Metaverse; Mirror worlds; Mysticism; Posthuman; Virtual reality; Wholemaking,,Article,Final,,Scopus,2-s2.0-85115178922
"Park S., Kim S.P., Whang M.",57282105800;57245245900;13106072200;,Individual¡¯s social perception of virtual avatars embodied with their habitual facial expressions and facial appearance,2021,Sensors,21,17,5986,,,,,10.3390/s21175986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114203382&doi=10.3390%2fs21175986&partnerID=40&md5=cc8393479731558e43bf0a86579bb154,"School of Design, Savannah College of Art and Design, Savannah, GA  31401, United States; Department of Human Centered Artificial Intelligence, Sangmyung University, Jongno?gu, Seoul, 03016, South Korea","Park, S., School of Design, Savannah College of Art and Design, Savannah, GA  31401, United States; Kim, S.P., Department of Human Centered Artificial Intelligence, Sangmyung University, Jongno?gu, Seoul, 03016, South Korea; Whang, M., Department of Human Centered Artificial Intelligence, Sangmyung University, Jongno?gu, Seoul, 03016, South Korea","With the prevalence of virtual avatars and the recent emergence of metaverse technology, there has been an increase in users who express their identity through an avatar. The research community focused on improving the realistic expressions and non?verbal communication channels of virtual characters to create a more customized experience. However, there is a lack in the understanding of how avatars can embody a user¡¯s signature expressions (i.e., user¡¯s habitual facial expressions and facial appearance) that would provide an individualized experience. Our study focused on identifying elements that may affect the user¡¯s social perception (similarity, familiarity, attraction, liking, and involvement) of customized virtual avatars engineered considering the user¡¯s facial characteristics. We evaluated the participant¡¯s subjective appraisal of avatars that embodied the participant¡¯s habitual facial expressions or facial appearance. Results indicated that participants felt that the avatar that embodied their habitual expressions was more similar to them than the avatar that did not. Furthermore, participants felt that the avatar that embodied their appearance was more familiar than the avatar that did not. Designers should be mindful about how people perceive individuated virtual avatars in order to accurately represent the user¡¯s identity and help users relate to their avatar. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Embodied conversational agent; Empathy; Social interaction; Virtual avatar; Virtual character; Virtual human,Felts; Facial appearance; Facial Expressions; Research communities; Social perception; Virtual avatar; Virtual character; Felt; computer interface; emotion; facial expression; human; perception; Emotions; Facial Expression; Humans; Social Perception; User-Computer Interface,Article,Final,,Scopus,2-s2.0-85114203382
"Park S., Min K., Kim S.",57193955118;57216883872;55812910700;,Differences in learning motivation among bartle¡¯s player types and measures for the delivery of sustainable gameful experiences,2021,Sustainability (Switzerland),13,16,9121,,,,,10.3390/su13169121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113817252&doi=10.3390%2fsu13169121&partnerID=40&md5=26e8892ff1cd1f238b7fb7bed6d122df,"Department of Industrial Engineering, Kangwon National University, Chuncheon, 24341, South Korea","Park, S., Department of Industrial Engineering, Kangwon National University, Chuncheon, 24341, South Korea; Min, K., Department of Industrial Engineering, Kangwon National University, Chuncheon, 24341, South Korea; Kim, S., Department of Industrial Engineering, Kangwon National University, Chuncheon, 24341, South Korea","Gamification is one of the methods used for delivering gameful experiences to Generation Z learners. The player-type theory must be reflected to effectively design gamification. This study aims to analyze the differences in learning motivation among different player types and to propose methods that can deliver effective gameful experiences. The study was conducted on 91 university students who were instructed to attend a class that utilized gamification. Based on the results, there were no statistical differences in the motivation among the different player types. Accordingly, constructing environments that can establish gameful experiences, rules, and strategies preferred by each type of player is proposed as an important factor in gamification design. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Experience; Gameful experience; Gamification; Human?computer interface; Metaverse,design method; student; sustainability; university sector,Article,Final,,Scopus,2-s2.0-85113817252
"Nevelsteen K., Wehlou M.",55247002400;57219737089;,IPSME-Idempotent Publish/Subscribe Messaging Environment,2021,"MMVE 2021 - Proceedings of the 2021 International Workshop on Immersive Mixed and Virtual Environment Systems, Part of MMSys 2021",,,,30,36,,,10.1145/3458307.3460966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111781249&doi=10.1145%2f3458307.3460966&partnerID=40&md5=453debe50c0357ab7f9e3e61ffb5d4fb,"MiTM Ab, Uppsala, Sweden","Nevelsteen, K., MiTM Ab, Uppsala, Sweden; Wehlou, M., MiTM Ab, Uppsala, Sweden","The integration (interoperability) of highly disparate systems is an open topic of research in many domains. A common approach for getting two highly disparate systems to be interoperable, is through an agreed-upon protocol (e.g., via standardization) or by employing a common framework. The problem of integrating systems arises when many of these protocols/frameworks come into existence. Both, agreeing on protocols/frameworks and creating mappings between protocols takes time and effort. An interoperability solution must be scalable and should not require stakeholders to adapt to major changes in their system i.e., systems should not need to be re-engineered as other systems are added, removed or replaced in the integration. IPSME is introduced as a solution for integrating highly disparate systems. IPSME decouples the dependencies between interacting participants. Interoperability is achieved through dynamic translations, with integrations external to the systems being integrated, avoiding the need for agreed-upon protocols or frameworks. Scalability is achieved by not having a limitation on the number of messaging environments or the topological organization thereof. IPSME is minimally invasive and through a network effect reduces the overall complexity of integrating many systems to linear. IPSME has been evaluated and thus far been tested in three use cases. ? 2021 ACM.",architecture; evolution; heterogeneous; idempotence; integration; internet of things; interoperability; invocation; mapping; metaverse; publish/subscribe; scalability; system of systems; systems; virtual,Multimedia systems; Virtual reality; Disparate systems; Dynamic translation; Idempotent; Integrating systems; Minimally invasive; Network effects; Publish/subscribe messaging; Interoperability,Conference Paper,Final,,Scopus,2-s2.0-85111781249
"Lopes L.O., Goncalves V.",57272558600;57197390255;,Evaluation of the Augmented Reality Educational Application for the 2nd cycle of primary school [Avalia??o de uma Aplica??o Educativa de Realidade Aumentada para 2.¡Æ ciclo do Ensino B?sico],2021,"Iberian Conference on Information Systems and Technologies, CISTI",,,,,,,,10.23919/CISTI52073.2021.9476454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115751638&doi=10.23919%2fCISTI52073.2021.9476454&partnerID=40&md5=c1e407ee249a19c816c3a03d0c4d4d8b,"Escola Superior de Educa??o, Instituto Polit?cnico de Bragan?a, Bragan?a, Portugal; Centro de Investiga??o em Educa??o B?sica, Instituto Polit?cnico de Bragan?a, Bragan?a, Portugal","Lopes, L.O., Escola Superior de Educa??o, Instituto Polit?cnico de Bragan?a, Bragan?a, Portugal; Goncalves, V., Centro de Investiga??o em Educa??o B?sica, Instituto Polit?cnico de Bragan?a, Bragan?a, Portugal","The use of augmented reality (AR) technology has been shown to be useful in several areas of human activity. In this sense, this study aims to understand whether these AR technologies can contribute to inform and educate children of the 2nd cycle of primary school about the outbreak by COVID-19. For this purpose, in addition to the systematic review of the literature of the last 5 years on AR, a case study was carried out with a group of experts who evaluated an AR application using Metaverse Studio. The study showed a very favorable response in relation to the use of these applications in the teaching-learning context, namely in basic education, confirming that it can improve the cognitive capacity of children, allowing them to retain knowledge and develop creative and autonomous learning after the experience of using this technology. ? 2021 AISTI.",augmented reality; augmented reality technology.; primary school,Information systems; Information use; Augmented reality applications; Augmented reality technology; Augmented reality technology.; Case-studies; Educational Applications; Human activities; Metaverses; Primary schools; Systematic Review; Teaching-learning; Augmented reality,Conference Paper,Final,,Scopus,2-s2.0-85115751638
"Yoon K., Kim S.-K., Jeong S.P., Choi J.-H.",8974611200;55718714400;57254006800;57253888100;,Interfacing Cyber and Physical Worlds: Introduction to IEEE 2888 Standards,2021,"Proceedings - 2021 IEEE International Conference on Intelligent Reality, ICIR 2021",,,,49,50,,,10.1109/ICIR51845.2021.00016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114665469&doi=10.1109%2fICIR51845.2021.00016&partnerID=40&md5=89a516f826b635872ca217c872cc8b9b,"Konkuk University, Dept. of Smart Ict Convergence Engineering, Seoul, South Korea; Myongji University, School of Convergence Sw, Seoul, South Korea; JoyFun Inc., Ceo, Seoul, South Korea; Skonec Ent. Co. Ltd., Seoul, South Korea","Yoon, K., Konkuk University, Dept. of Smart Ict Convergence Engineering, Seoul, South Korea; Kim, S.-K., Myongji University, School of Convergence Sw, Seoul, South Korea; Jeong, S.P., JoyFun Inc., Ceo, Seoul, South Korea; Choi, J.-H., Skonec Ent. Co. Ltd., Seoul, South Korea",The IEEE 2888 standard is in the process of development to provide common platform for digtial twin space or metaverse plus. There are four parts of the standard designed to provide standardized interface for synchronization between cyber and physcial world. This paper provides a brief introduction to this on-going standard activity. ? 2021 IEEE.,cyber world; IEEE2888; metaverse; MPEG-V; standard; virtual world,Common platform; Physical world; Standardized interfaces; IEEE Standards,Conference Paper,Final,,Scopus,2-s2.0-85114665469
"Siyaev A., Jo G.-S.",57215897021;6701387317;,Towards aircraft maintenance metaverse using speech interactions with virtual objects in mixed reality,2021,Sensors,21,6,2066,1,21,,,10.3390/s21062066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102467195&doi=10.3390%2fs21062066&partnerID=40&md5=1c74f1b421bec94f156cd07185391060,"Artificial Intelligence Laboratory, Department of Electrical and Computer Engineering, Inha University, Incheon, 22212, South Korea; Augmented Knowledge Corp., Inha Dream Center, 100 Inha-ro, Michuhol-gu, Incheon, 22212, South Korea","Siyaev, A., Artificial Intelligence Laboratory, Department of Electrical and Computer Engineering, Inha University, Incheon, 22212, South Korea; Jo, G.-S., Artificial Intelligence Laboratory, Department of Electrical and Computer Engineering, Inha University, Incheon, 22212, South Korea, Augmented Knowledge Corp., Inha Dream Center, 100 Inha-ro, Michuhol-gu, Incheon, 22212, South Korea","Metaverses embedded in our lives create virtual experiences inside of the physical world. Moving towards metaverses in aircraft maintenance, mixed reality (MR) creates enormous opportunities for the interaction with virtual airplanes (digital twin) that deliver a near-real experience, keeping physical distancing during pandemics. 3D twins of modern machines exported to MR can be easily manipulated, shared, and updated, which creates colossal benefits for aviation colleges who still exploit retired models for practicing. Therefore, we propose mixed reality education and training of aircraft maintenance for Boeing 737 in smart glasses, enhanced with a deep learning speech interaction module for trainee engineers to control virtual assets and workflow using speech commands, enabling them to operate with both hands. With the use of the convolutional neural network (CNN) architecture for audio features and learning and classification parts for commands and language identification, the speech module handles intermixed requests in English and Korean languages, giving corresponding feedback. Evaluation with test data showed high accuracy of pre-diction, having on average 95.7% and 99.6% on the F1-Score metric for command and language prediction, respectively. The proposed speech interaction module in the aircraft maintenance metaverse further improved education and training, giving intuitive and efficient control over the operation, enhancing interaction with virtual objects in mixed reality. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Aircraft maintenance education; Boeing 737; Deep learning; Industry 4.0; Metaverse; Mixed reality (MR); Smart maintenance; Speech interaction,"Aircraft control; Convolutional neural networks; Deep learning; Digital twin; Maintenance; Personnel training; Speech; Training aircraft; Aircraft maintenance; Education and training; Efficient control; Korean language; Language identification; Speech commands; Speech interaction; Virtual objects; Mixed reality; aircraft; hospital service; speech; Aircraft; Augmented Reality; Maintenance; Neural Networks, Computer; Speech",Article,Final,,Scopus,2-s2.0-85102467195
"Gebrian M., Flori?n M., Eloy S.",57303443300;57303443400;36990065300;,Designing the bodily metaverse of Lisbon,2021,Virtual Aesthetics in Architecture: Designing in Mixed Realities,,,,133,141,,,10.4324/9781003183105-21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117545526&doi=10.4324%2f9781003183105-21&partnerID=40&md5=41df9d32ea713024b7a7a9dcd4ea4e0e,"Czech Technical University, Prague, Czech Republic; Czech Technical University, Prague, Czech Republic; Instituto Universit?rio de Lisboa (ISCTE-IUL), Portugal","Gebrian, M., Czech Technical University, Prague, Czech Republic; Flori?n, M., Czech Technical University, Prague, Czech Republic; Eloy, S., Instituto Universit?rio de Lisboa (ISCTE-IUL), Portugal",[No abstract available],,,Book Chapter,Final,,Scopus,2-s2.0-85117545526
"Frish S., Druchok M., Shchur H.",57209305837;12793134300;57219866972;,Molecular MR Multiplayer: a cross-platform collaborative interactive game for scientists,2020,"Proceedings of the ACM Symposium on Virtual Reality Software and Technology, VRST",,,,,,,,10.1145/3385956.3422098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095826646&doi=10.1145%2f3385956.3422098&partnerID=40&md5=43d280139063af8c76c10c4c54f32d48,"SoftServe Inc., Lviv, Ukraine; SoftServe Inc., Institute for Condensed Matter Physics, Lviv, Ukraine","Frish, S., SoftServe Inc., Lviv, Ukraine; Druchok, M., SoftServe Inc., Institute for Condensed Matter Physics, Lviv, Ukraine; Shchur, H., SoftServe Inc., Lviv, Ukraine","We present Molecular MR Multiplayer - an interactive, collaborative solution for material design on the edge devices on flat screens and in Mixed Reality (MR) [3]. The application provides a concept of emerging gaming-like remote collaboration experience for researchers, helping explore and design chemical compounds, Both single-user and multi-user modes are implemented. The multi-user mode allows mixed collaborative sessions between local and distant users. A concept of the digital overlays over physical world known as Metaverse is developed. ? 2020 Owner/Author.",Interactive; Material Design; Mixed Reality; Multiplayer,Software engineering; Virtual reality; Collaborative sessions; Cross-platform; Digital overlays; Distant users; Interactive games; Material designs; Physical world; Remote collaboration; Mixed reality,Conference Paper,Final,,Scopus,2-s2.0-85095826646
