,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0,second,environment,user,student,learn,store,new,reality,text,service
1,life,user,avatar,learn,system,new,cultural,technology,space,information
2,user,design,interface,new,base,future,environment,new,dimensional,user
3,art,system,environment,life,study,technology,social,project,culture,experience
4,system,second,agent,second,web,element,avatar,mixed,place,reality
5,paper,life,technology,real,second,internet,interactive,immersive,identity,space
6,base,application,base,project,traditional,process,provide,challenge,avatar,system
7,creation,model,control,online,environment,game,network,medium,well,content
8,design,language,interaction,user,life,large,method,space,mean,data
9,digital,base,paper,experience,paper,information,exhibit,research,creation,structure
10,avatar,data,human,base,author,retail,movement,digital,create,paper
11,study,tool,computer,reality,tool,activity,stage,system,usage,present
12,home,communication,content,problem,make,science,information,interaction,education,earth
13,right,create,experience,study,type,thing,platform,real,school,time
14,technology,web,design,understand,propose,retailing,different,capability,life,real
15,content,education,new,game,experience,environment,time,art,architecture,provide
16,control,digital,author,approach,game,conference,experiment,bring,author,map
17,new,platform,immersive,research,offer,well,design,create,process,represent
18,sl,learn,social,education,metaverses,model,view,address,environment,several
19,real,metaverses,interactive,first,application,art,author,paper,visual,form
