,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,2.0,0.9867610931396484,"[(2, 0.98676115)]"
1,1,0.0,0.9847402572631836,"[(0, 0.98474026)]"
2,2,2.0,0.9874972701072693,"[(2, 0.98749727)]"
3,3,4.0,0.9844799637794495,"[(4, 0.9844799)]"
4,4,1.0,0.9878347516059875,"[(1, 0.98783475)]"
5,5,4.0,0.3150064945220947,"[(3, 0.15655161), (4, 0.3150065), (7, 0.21480396), (8, 0.30291978)]"
6,6,8.0,0.9549863934516907,"[(8, 0.9549864)]"
7,7,2.0,0.4583849608898163,"[(1, 0.3175341), (2, 0.45838493), (7, 0.21510375)]"
8,8,8.0,0.7749459743499756,"[(0, 0.025010033), (1, 0.025010979), (2, 0.025006715), (3, 0.025003852), (4, 0.025002504), (5, 0.025007019), (6, 0.025006652), (7, 0.025002956), (8, 0.774946), (9, 0.025003266)]"
9,9,9.0,0.9816272854804993,"[(9, 0.9816273)]"
10,10,3.0,0.9904232621192932,"[(3, 0.9904232)]"
11,11,7.0,0.9795402884483337,"[(7, 0.9795403)]"
12,12,7.0,0.5514756441116333,"[(3, 0.43342498), (7, 0.55147564)]"
13,13,5.0,0.9914266467094421,"[(5, 0.99142665)]"
14,14,3.0,0.6099278926849365,"[(1, 0.37967956), (3, 0.6099279)]"
15,15,7.0,0.5932213068008423,"[(7, 0.5932213), (8, 0.38899514)]"
16,16,0.0,0.5852589011192322,"[(0, 0.5852589), (3, 0.3947353)]"
17,17,7.0,0.6012252569198608,"[(3, 0.39175472), (7, 0.60122526)]"
18,18,1.0,0.5198957324028015,"[(1, 0.51989573), (3, 0.4655551)]"
19,19,3.0,0.5958630442619324,"[(1, 0.19031997), (3, 0.59586304), (7, 0.20708416)]"
20,20,4.0,0.9819956421852112,"[(4, 0.98199564)]"
21,21,2.0,0.9823473691940308,"[(2, 0.98234737)]"
22,22,1.0,0.980845034122467,"[(1, 0.9808451)]"
23,23,1.0,0.7592434883117676,"[(1, 0.7592435), (8, 0.224424)]"
24,24,7.0,0.5956389904022217,"[(7, 0.595639), (8, 0.38835764)]"
25,25,1.0,0.9879965782165527,"[(1, 0.9879966)]"
26,26,1.0,0.9833283424377441,"[(1, 0.98332834)]"
27,27,1.0,0.6731480956077576,"[(0, 0.22175558), (1, 0.6731481), (3, 0.09537126)]"
28,28,1.0,0.5395505428314209,"[(1, 0.53955054), (3, 0.33682996), (4, 0.02519367), (7, 0.08933163)]"
29,29,8.0,0.9859321117401123,"[(8, 0.98593205)]"
30,30,8.0,0.9819971323013306,"[(8, 0.9819972)]"
31,31,9.0,0.6134604215621948,"[(1, 0.17903793), (8, 0.1912165), (9, 0.6134604)]"
32,32,2.0,0.9881542921066284,"[(2, 0.9881543)]"
33,33,1.0,0.5315870046615601,"[(1, 0.531587), (7, 0.4493596)]"
34,34,7.0,0.532089114189148,"[(2, 0.1546096), (3, 0.084650435), (5, 0.14866097), (7, 0.5320891), (8, 0.06862183)]"
35,35,8.0,0.6664448976516724,"[(0, 0.3192656), (8, 0.6664449)]"
36,36,7.0,0.986563503742218,"[(7, 0.9865635)]"
37,37,2.0,0.983923614025116,"[(2, 0.9839236)]"
38,38,8.0,0.9799954295158386,"[(8, 0.9799955)]"
39,39,9.0,0.990107536315918,"[(9, 0.9901076)]"
40,40,3.0,0.49956566095352173,"[(1, 0.49370903), (3, 0.4995657)]"
41,41,3.0,0.9799929857254028,"[(3, 0.979993)]"
42,42,3.0,0.6445713639259338,"[(1, 0.34475818), (3, 0.64457136)]"
43,43,7.0,0.9898840188980103,"[(7, 0.98988396)]"
44,44,1.0,0.9881542921066284,"[(1, 0.9881543)]"
45,45,8.0,0.8573476076126099,"[(5, 0.11597788), (8, 0.8573476)]"
46,46,5.0,0.9735223054885864,"[(5, 0.97352237)]"
47,47,7.0,0.9812444448471069,"[(7, 0.98124444)]"
48,48,2.0,0.9876681566238403,"[(2, 0.98766816)]"
49,49,3.0,0.653230607509613,"[(3, 0.6532306), (9, 0.33107853)]"
50,50,0.0,0.9896522760391235,"[(0, 0.9896523)]"
51,51,8.0,0.9839263558387756,"[(8, 0.9839264)]"
52,52,8.0,0.5784007906913757,"[(4, 0.40803552), (8, 0.5784008)]"
53,53,3.0,0.8449898362159729,"[(3, 0.84498984), (8, 0.1440478)]"
54,54,1.0,0.7647484540939331,"[(1, 0.76474845), (5, 0.22348294)]"
55,55,3.0,0.8751876950263977,"[(3, 0.8751877), (5, 0.1097119)]"
56,56,3.0,0.9842064380645752,"[(3, 0.98420644)]"
57,57,5.0,0.5391267538070679,"[(1, 0.13919419), (4, 0.31281525), (5, 0.53912675)]"
58,58,1.0,0.8347564935684204,"[(1, 0.8347565), (8, 0.15457256)]"
59,59,8.0,0.8499755859375,"[(0, 0.016668094), (1, 0.016667763), (2, 0.016669955), (3, 0.016668517), (4, 0.016667198), (5, 0.016671928), (6, 0.016672935), (7, 0.016669726), (8, 0.8499756), (9, 0.016668325)]"
60,60,8.0,0.9823506474494934,"[(8, 0.98235065)]"
61,61,2.0,0.9689555168151855,"[(2, 0.9689555)]"
62,62,3.0,0.9873195290565491,"[(3, 0.9873195)]"
63,63,3.0,0.653670608997345,"[(1, 0.33401772), (3, 0.6536706)]"
64,64,4.0,0.7215478420257568,"[(2, 0.26066825), (4, 0.72154784)]"
65,65,8.0,0.9854801893234253,"[(8, 0.9854802)]"
66,66,8.0,0.9869530200958252,"[(8, 0.98695296)]"
67,67,7.0,0.588904082775116,"[(7, 0.5889041), (8, 0.39818865)]"
68,68,3.0,0.9763080477714539,"[(3, 0.976308)]"
69,69,3.0,0.44143474102020264,"[(3, 0.44143474), (5, 0.2595027), (9, 0.2889137)]"
70,70,2.0,0.6170539259910583,"[(2, 0.6170539), (4, 0.37117854)]"
71,71,0.0,0.9865625500679016,"[(0, 0.98656255)]"
72,72,1.0,0.9816274046897888,"[(1, 0.98162735)]"
73,73,1.0,0.9727176427841187,"[(1, 0.97271764)]"
74,74,8.0,0.7749863862991333,"[(0, 0.025000414), (1, 0.025000906), (2, 0.025001422), (3, 0.025000837), (4, 0.025000788), (5, 0.025006171), (6, 0.025001002), (7, 0.025001602), (8, 0.7749864), (9, 0.025000414)]"
75,75,5.0,0.8499642014503479,"[(0, 0.016667904), (1, 0.01667062), (2, 0.016671928), (3, 0.016670255), (4, 0.016668102), (5, 0.8499642), (6, 0.016667467), (7, 0.016675102), (8, 0.016672866), (9, 0.016671574)]"
76,76,8.0,0.6999796628952026,"[(0, 0.03333402), (1, 0.03333491), (2, 0.03333402), (3, 0.03333402), (4, 0.033334825), (5, 0.033344798), (6, 0.033335283), (7, 0.03333444), (8, 0.69997966), (9, 0.03333402)]"
77,77,7.0,0.9873202443122864,"[(7, 0.9873202)]"
78,78,1.0,0.9849962592124939,"[(1, 0.98499626)]"
79,79,5.0,0.7053121328353882,"[(5, 0.70531213), (7, 0.28387368)]"
80,80,1.0,0.6304438710212708,"[(1, 0.6304439), (3, 0.13544066), (8, 0.224253)]"
81,81,1.0,0.4662509560585022,"[(1, 0.46625096), (2, 0.30223492), (3, 0.22057298)]"
82,82,6.0,0.9808487296104431,"[(6, 0.9808487)]"
83,83,3.0,0.9876671433448792,"[(3, 0.98766714)]"
