,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
0,system,system,user,learn,learn,game,new,technology,text,art,culture,design,environment,reality,learn,avatar,real,life,user,application
1,user,language,interface,real,educational,new,cultural,environment,identity,space,digital,student,creative,web,student,effect,base,internet,place,metaverses
2,second,tool,avatar,new,application,technology,avatar,immersive,school,form,base,study,chapter,new,education,service,social,second,comic,game
3,life,application,interaction,online,study,process,platform,project,life,create,environment,life,process,store,problem,innovation,life,create,avatar,system
4,content,model,control,life,dimensional,scenario,challenge,team,second,island,technology,digital,art,system,life,art,second,experience,space,base
5,home,environment,environment,project,base,student,time,new,avatar,paper,change,second,author,service,experience,paper,application,development,frame,available
6,interface,learn,reality,user,art,future,provide,system,place,social,element,environment,igi,digital,second,right,system,space,agent,web
7,device,design,paper,student,architecture,activity,life,support,form,user,text,avatar,global,information,system,concept,reality,service,experience,network
8,provide,platform,life,second,author,organize,second,research,take,content,traditional,research,interactive,data,result,experience,create,museum,museum,abstract
9,creation,user,second,game,approach,application,movement,medium,create,argue,create,learn,design,traditional,class,real,develop,content,base,environment
10,open,layer,immersive,platform,teach,reality,method,education,environment,th,simulation,communication,body,paper,construct,text,research,object,paper,study
11,paper,second,expression,time,system,augment,exhibit,capability,medium,state,value,real,social,base,analyze,base,augment,present,non,platform
12,base,teach,design,understand,well,tool,creativity,display,vr,constitute,analysis,represent,different,mixed,player,regard,service,game,system,paper
13,technology,learning,focus,become,technology,large,information,metaverses,visual,meta,problem,computer,project,environment,type,creative,type,thing,method,reality
14,create,data,opportunity,development,describe,element,view,social,island,possibility,mean,teach,avatar,social,author,mean,interaction,method,service,sl
15,approach,student,application,develop,strategy,many,give,develop,author,internet,game,new,subject,research,study,architecture,point,base,server,new
16,product,base,language,base,year,model,propose,interaction,creative,increasingly,dimension,practice,provide,user,user,show,metaverses,new,narrative,avatar
17,information,nature,feature,paper,school,well,open,collaboration,many,function,art,possibility,experience,future,explore,agency,user,information,collective,user
18,agent,communication,tool,environment,environment,science,focus,communication,dimensional,ltd,experience,base,experiment,offer,design,principle,share,become,module,similar
19,result,process,base,people,avatar,code,thus,student,challenge,combination,content,make,stage,mobile,approach,study,location,art,cognitive,case
